,id,date,price (US$),bedrooms,bathrooms,area(sqft),sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,price/sqft,avg. zipcode price
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,no,0,3,7,1180,1955,0,98178,47.5112,-122.257,188.05084745762713,189.17252830749555
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,no,0,3,7,2170,1951,1991,98125,47.721,-122.319,209.3385214007782,282.6698862086409
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,no,0,3,6,770,1933,0,98028,47.7379,-122.233,233.76623376623377,225.14308528697757
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,no,0,5,7,1050,1965,0,98136,47.5208,-122.393,308.16326530612247,337.21803422469395
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,no,0,3,8,1680,1987,0,98074,47.6168,-122.045,303.57142857142856,265.67134229472754
5,7237550310,2014-05-12,1225000.0,4,4.5,5420,101930,1.0,no,0,3,11,3890,2001,0,98053,47.6561,-122.005,226.01476014760146,268.40018565787614
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,no,0,3,7,1715,1995,0,98003,47.3097,-122.327,150.14577259475217,157.11341446884097
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,no,0,3,7,1060,1963,0,98198,47.4095,-122.315,275.3301886792453,178.42860978855347
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,no,0,3,7,1050,1960,0,98146,47.5123,-122.337,128.93258426966293,225.49143113532367
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,no,0,3,7,1890,2003,0,98038,47.3684,-122.031,170.8994708994709,173.72594528431705
10,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,no,0,3,8,1860,1965,0,98007,47.6007,-122.145,186.09550561797752,290.04901987794375
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,no,0,4,7,860,1942,0,98115,47.69,-122.292,403.44827586206895,354.14426149917773
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,no,0,4,7,1430,1927,0,98028,47.7558,-122.229,216.78321678321677,225.14308528697757
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,no,0,4,7,1370,1977,0,98074,47.6127,-122.045,291.97080291970804,265.67134229472754
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,no,0,3,7,1810,1900,0,98107,47.67,-122.394,292.81767955801104,382.9519753823742
15,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,no,3,3,9,1980,1979,0,98126,47.5714,-122.375,220.33898305084745,292.79588004303434
